,designation,country,MTE: designation
0,Clos du Mesnil,France,1400.0
1,Roger Rose Vineyard,US,1021.5
2,Colheita White,Portugal,980.0
3,El Perer,Spain,770.0
4,Les Quatre Journaux,France,740.0
5,Kiedrich Gräfenberg Trockenbeerenauslese,Germany,700.4
6,Essencia,Hungary,654.0
7,Hill of Grace,Australia,625.0
8,Figuero Tinus,Spain,599.0
9,La Cabotte,France,596.0
10,Very Old Single Harvest,Portugal,588.0
11,Vigneto di Monte Lodoletta,Italy,535.0
12,Chambertin Clos de Bèze Grand Cru,France,525.0
13,Hattenheimer Wisselbrunnen Beernauslese Gold Cap,Germany,510.0
14,Cristal Rosé Brut,France,505.0
15,Erbacher Marcobrunn Trockenbeerenauslese,Germany,500.0
16,Chevalier-Montrachet Grand Cru,France,500.0
17,Sorì Tildin,Italy,497.5
18,Noblesse d'Or Brut Rosé,France,495.0
19,Trockenbeerenauslese Goldlack,Germany,486.0
20,Hill of Grace Vineyard,Australia,475.0
21,Clon de la Familia,Spain,450.0
22,La Mouline,France,450.0
23,La Turque,France,450.0
24,Serrig Schloss Saarsteiner Eiswein,Germany,448.0
25,Wehlener Sonnenuhr Vat 59 Trockenbeerenauslese,Germany,440.0
26,L'Ermita,Spain,440.0
27,Sorì San Lorenzo,Italy,432.5
28,Costa Russi,Italy,427.5
29,Lodovico,Italy,419.0
30,Sorì Tildìn,Italy,411.66666666666674
31,Grange,Australia,401.8181818181818
32,Monzinger Frühlingsplätzchen Trockenbeerenauslese,Germany,400.0
33,Fleur de Champagne Blanc de Blancs Brut,France,399.5
34,Pesus,Spain,395.0
35,Rosa-Goldlack Beerenauslese,Germany,395.0
36,Masseto,Italy,393.8461538461538
37,Grand Siècle Alexandra Brut Rosé,France,390.0
38,Dom Pérignon Oenothèque Brut,France,385.0
39,Le Mesnil Blanc de Blancs,France,380.0
40,Les Demoiselles,France,380.0
41,Kiedrich Gräfenberg Eiswein,Germany,376.0
42,Bâtard-Montrachet Grand Cru,France,375.0
43,La Richemonne Cuvée Ultra Premier Cru,France,365.0
44,Petit Monts Premier Cru,France,357.0
45,Belle Epoque Rosé,France,350.0
46,Viña El Pison,Spain,350.0
47,La Mattonara Riserva,Italy,350.0
48,Bâtard-Montrachet,France,350.0
49,Erdener Prälat Goldkap Beerenauslese,Germany,350.0
50,Fleur de Champagne Rosé Brut,France,349.0
51,L'Ermite Ermitage,France,345.0
52,Legend Vintage,France,343.3333333333333
53,Kiedrich Gräfenberg Beerenauslese,Germany,341.0
54,Redigaffi,Italy,330.0
55,Tinus,Spain,325.5
56,Unico Gran Reserva,Spain,325.0
57,Hochheimer Kirchenstück Beerenauslese,Germany,323.0
58,La Combe d'Orveau Cuvée Ultra Premier Cru,France,320.0
59,Pingus,Spain,320.0
60,Trittenheimer Apotheke Beerenauslese,Germany,317.0
61,Le Pavillon Ermitage,France,316.0
62,Herrenberg Eiswein 82,Germany,316.0
63,Prestigio Pago de las Solanas,Spain,312.5
64,Ex Voto,France,312.5
65,Viña el Pison,Spain,300.0
66,Grand Siècle Cuvée Alexandra Rosé Brut,France,300.0
67,Kayli Morgan Vineyard,US,300.0
68,Taita Wisdom in Wine Marchigue Vineyard,Chile,300.0
69,Rare,Australia,300.0
70,Rare Muscadelle,Australia,300.0
71,Mazy-Chambertin,France,300.0
72,Fleur de Champagne Brut Rosé,France,300.0
73,Le Desir,US,300.0
74,Dom Perignon Rosé,France,300.0
75,Belle Epoque Blanc de Blancs Brut,France,300.0
76,Few and Far Between Vineyard,US,300.0
77,Ark Vineyard,US,300.0
78,Messorio,Italy,299.3333333333333
79,Dom Ruinart Brut Rosé,France,295.0
80,Astralis,Australia,295.0
81,Case Basse,Italy,293.0
82,Very Old Tawny Special Edition,Portugal,290.0
83,Comtes de Champagne Rosé Brut,France,290.0
84,La Landonne,France,289.5
85,Cuvée Héritiers Latour,France,287.25
86,Rauenthaler Nonnenberg Riesling Trockenbeerenauslese,Germany,283.0
87,Les Amoureuses Premier Cru,France,280.0
88,Cirsion,Spain,279.1666666666667
89,Marquis de Laguiche,France,278.2
90,Cuvée Sir Winston Churchill Brut,France,275.0
91,Quella,US,275.0
92,Vinothèque Premier Cru Brut,France,275.0
93,Le Méal Ermitage,France,270.0
94,Muffato della Sala,Italy,270.0
95,Grand Cru Clos Saint-Urbain Rangen de ThannSéléction des Grains Nobles,France,269.0
96,Le Mesnil Blanc de Blancs Brut,France,262.5
97,D'Alceo,Italy,261.0
98,RD Brut Champagne,France,260.0
99,La Muse,US,260.0
100,Echézeaux du Dessous,France,259.0
101,Pluribus,US,258.75
102,Don PX Reserva Especial,Spain,258.0
103,Les Forts de Latour,France,256.0
104,L'Ermite,France,255.0
105,Barca Velha,Portugal,253.0
106,Cristal Brut,France,251.75
107,Unico,Spain,251.0
108,Tychson Hill Vineyard,US,250.0
109,Double Plus,US,250.0
110,Viñedo Chadwick,Chile,250.0
