,region_1,country,MTE: region_1
0,Montrachet,France,601.1818181818181
1,Romanée-St.-Vivant,France,545.0
2,Mazoyeres-Chambertin,France,475.0
3,Chevalier-Montrachet,France,438.26315789473676
4,Grands-Echezeaux,France,391.0
5,Musigny,France,380.0
6,Chambertin Clos de Bèze,France,347.25
7,Bonnes-Mares,France,340.3333333333333
8,Bienvenues Bâtard-Montrachet,France,326.90909090909093
9,Clos de Tart,France,319.0
10,Bâtard-Montrachet,France,304.8888888888889
11,Griotte-Chambertin,France,270.0
12,Chambertin,France,269.84615384615387
13,Criots-Bâtard-Montrachet,France,266.6666666666667
14,Maury,France,238.8
15,Latricières-Chambertin,France,228.5
16,Corton-Rognet,France,225.0
17,Chapelle-Chambertin,France,224.9
18,Rivesaltes,France,224.2
19,Mazis-Chambertin,France,223.4
20,Bolgheri Sassicaia,Italy,212.9
21,Clos de Vougeot,France,211.81578947368425
22,Echézeaux,France,203.69565217391303
23,Charmes-Chambertin,France,198.23076923076923
24,Corton Vergennes,France,197.0
25,Clos Saint-Denis,France,191.16666666666663
26,Clos de la Roche,France,184.14285714285717
27,Vin Santo di Montepulciano,Italy,176.1
28,Corton-Charlemagne,France,156.39534883720933
29,Pauillac,France,155.5263157894737
30,Corton-Bressandes,France,155.0
31,Côte Rôtie,France,154.72580645161293
32,Pessac-Léognan,France,147.7549019607843
33,Corton,France,139.89655172413794
34,Barsac,France,135.0
35,Hermitage,France,134.2173913043478
36,Saddle Rock-Malibu,US,123.33333333333331
37,Medrano,Argentina,112.0
38,Banyuls,France,108.6
39,Corton Les Lolières,France,104.0
40,Vosne-Romanée,France,103.50909090909092
41,Corton-Pougets,France,102.5
42,Chambolle-Musigny,France,101.92727272727272
43,Pomerol,France,100.35555555555555
44,Rutherglen,Australia,98.24561403508771
45,Puligny-Montrachet,France,97.91111111111113
46,Vougeot,France,97.5
47,Clarendon,Australia,94.22033898305084
48,Morey-Saint-Denis,France,93.46153846153848
49,Champagne,France,93.42463235294115
50,Costa Toscana,Italy,93.33333333333331
51,Gevrey-Chambertin,France,89.01785714285714
52,Savennières-Coulée de Serrant,France,87.25
53,Nuits-St.-Georges,France,86.86666666666666
54,Saint-Julien,France,84.57692307692308
55,Margaux,France,82.11764705882355
56,Bolgheri Superiore,Italy,80.9281045751634
57,Blanc Fumé de Pouilly,France,80.0
58,Coteaux Champenois,France,80.0
59,Quarts de Chaume,France,79.83333333333333
60,Oakville,US,79.80882352941177
61,Conca de Barberà,Spain,77.1
62,Meursault,France,76.04109589041096
63,Fort Ross-Seaview,US,75.75862068965517
64,Alta Valle della Greve,Italy,75.0
65,Nevada,US,75.0
66,Stags Leap District,US,74.85026737967914
67,Condrieu,France,74.80952380952381
68,Cornas,France,74.77464788732394
69,Howell Mountain,US,73.89887640449439
70,Langhe,Italy,72.47133757961784
71,Barolo,Italy,72.33405405405405
72,Diamond Mountain District,US,71.06217616580311
73,Pommard,France,70.72151898734177
74,Sonoma-Napa,US,70.69811320754717
75,Brunello di Montalcino,Italy,70.4383141762452
76,Chassagne-Montrachet,France,70.35338345864662
77,Oregon Other,US,70.0
78,Amarone della Valpolicella,Italy,69.74093264248705
79,Rutherford,US,68.38754325259515
80,Corbières-Boutenac,France,67.91666666666667
81,Rosazzo,Italy,67.5
82,Meursault-Blagny,France,67.5
83,Volnay,France,67.46551724137932
84,Saint-Émilion,France,67.13191489361702
85,Beaune,France,66.72189349112426
86,Amarone della Valpolicella Classico,Italy,66.59528130671507
87,Perdriel,Argentina,66.09756097560975
88,Jujuy,Argentina,66.0
89,Henty,Australia,66.0
90,Corton Perrières,France,65.0
91,St. Helena,US,64.98039215686275
92,Río Negro Valley,Argentina,64.94117647058823
93,Coombsville,US,63.4
94,Spring Mountain District,US,63.125
95,Montefalco Sagrantino,Italy,62.714285714285715
96,Napa,US,62.58715596330275
97,Moon Mountain District Sonoma County,US,61.83333333333334
98,Romangia,Italy,60.72727272727273
99,Offida Rosso,Italy,60.25
100,Polk County,US,60.0
101,Strevi,Italy,60.0
102,Faro,Italy,59.83333333333334
103,Barbaresco,Italy,58.84656084656085
104,Pine Mountain-Cloverdale Peak,US,58.09090909090909
105,Ramandolo,Italy,58.0
106,Atlas Peak,US,57.379746835443036
107,Mount Veeder,US,56.66972477064221
108,Toscana,Italy,56.57831325301205
109,Saint-Estèphe,France,55.769230769230774
110,Aude Hauterive,France,55.0
111,Sauternes,France,54.95348837209303
112,Contessa Entellina,Italy,54.70588235294117
113,Aloxe-Corton,France,54.5
