,winery,country,MTE: winery
0,Blair,US,1029.0
1,Château Latour,France,794.4
2,Masseto,Italy,587.5
3,Château Haut-Brion,France,569.0909090909091
4,Château La Mission Haut-Brion,France,568.1666666666666
5,Krug,France,513.25
6,Screaming Eagle,US,500.0
7,Château Ausone,France,495.0
8,Domaine Perrot-Minot,France,421.25
9,Château Lafite Rothschild,France,406.0
10,Château Margaux,France,377.5384615384616
11,Vega Sicilia,Spain,367.5
12,Château Laville Haut-Brion,France,357.5
13,Dal Forno Romano,Italy,356.75
14,Contador,Spain,354.0
15,Lokoya,US,350.0
16,Salon,France,346.42857142857144
17,Bryant Family,US,335.0
18,Yao Ming,US,327.6
19,Château Trotanoy,France,325.0
20,Sirena Dunarii,Romania,320.0
21,Clos de Tart,France,319.0
22,Gaja,Italy,318.85714285714283
23,Château Mouton Rothschild,France,318.0
24,Domaine Méo-Camuzet,France,307.0
25,Harlan Estate,US,298.75
26,Soldera,Italy,293.0
27,Domaine Bruno Clair,France,281.0
28,Domaine Jean Grivot,France,281.0
29,Château Pavie,France,280.0
30,Hundred Acre,US,275.0
31,Hundred Acre,Australia,275.0
32,Château Clinet,France,265.0
33,Biondi Santi,Italy,263.64285714285717
34,Michel Moritz,France,261.6666666666667
35,Domaine Henri Rebourseau,France,257.45454545454544
36,Château Hosanna,France,252.5
37,Sérafin Père et Fils,France,251.14285714285717
38,Domaine Sophie Cinier,France,250.0
39,Au Sommet,US,250.0
40,Sloan,US,245.0
41,Ornellaia,Italy,240.0
42,Tenuta dell'Ornellaia,Italy,238.9090909090909
43,BOND,US,238.27586206896552
44,Villa del Lago,US,225.0
45,Meteor,US,225.0
46,Cardinale,US,215.0
47,Verité,US,212.0
48,Colgin,US,211.9230769230769
49,Château La Conseillante,France,210.0
50,Le Dôme,France,206.0
51,Domaine Leflaive,France,203.04255319148936
52,Château Montrose,France,202.5
53,Viticultores del Priorat,Spain,200.0
54,Château Palmer,France,196.0
55,Opus One,US,195.0
56,M by Michael Mondavi,US,195.0
57,Ovid,US,195.0
58,Amuse Bouche,US,195.0
59,Perrier Jouët,France,191.78378378378375
60,Gandona,US,190.0
61,Roagna,Italy,190.0
62,Oasi degli Angeli,Italy,186.66666666666663
63,Dominio de Pingus,Spain,185.0
64,Araujo,US,185.0
65,The Vineyard House,US,181.25
66,Schloss Reinhartshausen,Germany,181.0
67,Château Léoville Las Cases,France,180.7142857142857
68,Château Angélus,France,180.0
69,Robert Weil,Germany,179.94871794871796
70,Etienne Sauzet,France,179.5
71,Diamond Creek,US,177.94117647058826
72,Podere Le Ripi,Italy,175.0
73,Mascarello Giuseppe e Figlio,Italy,175.0
74,Château Climens,France,174.0
75,Poggio di Sotto,Italy,173.33333333333337
76,La Cerbaiola,Italy,173.0
77,Poderi Aldo Conterno,Italy,170.2
78,Château Pichon Longueville Comtesse de Lalande,France,169.0
79,Le Macchiole,Italy,168.42
80,Château la Fleur-Pétrus,France,165.0
81,Luciano Sandrone,Italy,161.0
82,G.A. Rossi di Medelana,Italy,160.0
83,Château Bélair-Monange,France,160.0
84,Kopke,Portugal,159.2
85,Domaine Roses Camille,France,159.0
86,Alvaro Palacios,Spain,158.0
87,Chambers Rosewood Vineyards,Australia,157.0
88,Domaine des Comtes Lafon,France,156.0
89,Domaine des Varoilles,France,155.0
90,Pieve Santa Restituta,Italy,154.16666666666666
91,Merus,US,152.5
92,Podere Forte,Italy,151.0
93,Mockingbird,US,150.0
94,Terreus,Spain,150.0
95,Winston Hill,US,150.0
96,So Rare,US,150.0
97,Château la Croizille,France,150.0
98,Metaphora,US,150.0
99,Backstage Winery,US,150.0
100,Casa Piena,US,150.0
101,Vineyard 29,US,148.33333333333334
102,Château Figeac,France,147.5
103,Château Pape Clément,France,145.0
104,Ex Nihilo,Canada,145.0
105,Continuum,US,145.0
106,Viña Sastre,Spain,145.0
107,Decades5,US,145.0
108,Tenuta di Trinoro,Italy,142.66666666666666
109,JCP Maltus,Australia,142.33333333333334
110,Bollinger,France,141.7647058823529
111,Bodegas Roda,Spain,141.3125
112,Lineage,US,141.0
113,Vineyard 511,US,140.0
114,Cantina Bartolo Mascarello,Italy,140.0
115,Vik,Chile,140.0
116,Maison Jessiaume,France,139.92
117,Domaine des Perdrix,France,138.8
118,Avignonesi-Capannelle,Italy,138.33333333333334
119,Château Cos d'Estournel,France,138.33333333333334
120,Castello dei Rampolla,Italy,138.26666666666668
121,Valdicava,Italy,137.33333333333334
122,Les Astéries,France,136.0
123,Schloss Johannisberger,Germany,135.94444444444446
124,Cerbaiona,Italy,135.0
125,Buccella,US,135.0
126,Château Valandraud,France,132.77777777777777
127,Domenico Clerico,Italy,132.0
128,M. Chapoutier,France,131.68055555555554
129,Marco Abella,Spain,131.3
130,Sadie Family,South Africa,130.0
131,Vieux Château Certan,France,130.0
132,Gratallops,Spain,130.0
133,Monteverro,Italy,129.58333333333334
134,Jacquesson et Fils,France,128.63636363636363
135,Moët & Chandon,France,128.5
136,Cava d'Onice,Italy,128.0
137,Staglin,US,127.8181818181818
138,Kapcsandy Family Winery,US,127.5
139,Emilio Moro,Spain,127.1
140,Bodegas Yuste,Spain,126.66666666666669
141,Heitz,US,126.33333333333331
142,Domaine Chantal Lescure,France,125.5
143,Waterfront,US,125.0
144,Clos Larcis,France,125.0
145,Dits del Terra,Spain,125.0
146,Thiénot,France,125.0
147,Bialla,US,125.0
148,Bentley,US,125.0
149,Château Troplong Mondot,France,125.0
150,Herrera,US,125.0
151,Pillar Rock,US,125.0
152,Axios,US,125.0
153,21 Grams,US,125.0
154,Rubissow-Sargent Reserve,US,125.0
155,Ad Vivum,US,125.0
156,Hunt McKay,US,125.0
157,Clos Erasmus,Spain,125.0
158,Andrus,US,125.0
159,Dos Lagos Vineyards,US,125.0
160,Portfolio,US,125.0
161,Ruinart,France,125.0
162,Domaine René Bouvier,France,124.33333333333331
163,Vieux Château Mazerat,France,123.75
164,Pol Roger,France,123.1904761904762
165,Veuve Clicquot Ponsardin,France,123.0
166,E. Guigal,France,122.74666666666668
167,Tierra Roja,US,122.5
168,Taittinger,France,122.3846153846154
